,,hex,,,,,LVDS2mLVDS,eDP2mLVDS,LVDS2eDP,RGB2eDP,LVDS2mLVDS(Hex),eDP2mLVDS(Hex),LVDS2eDP(Hex),RGB2eDP(Hex),,,,
,151-144,2c,147-144,3-0,hsrx_termsel,1010,00001010,00001010,00001010,00001010,A,A,0A,A,,,,
,,,149-148,5-4,hsrx1_dr_man,00,,,,,0,0,00,0,,,,
,,,151-150,7-6,hsrx2_dr_man,00,,,,,0,0,00,0,,,,
,159-152,2d,152,0,hsrx0_pwd,0,00000011,00000000,00000011,00000011,3,0,03,3,,,,
,,,153,1,hsrx1_pwd,0,,,,,0,0,00,0,,,,
,,,154,2,hsrx2_pwd,0,,,,,,,00,,,,,
,,,155,3,hsrxc_pwd,0,,,,,,,00,,,,,
,,,157-156,5-4,rxvco_basectrl,00,,,,,,,00,,,,,
,,,159-158,7-6,rxvco_propctrl,11,,,,,0,0,00,0,,,,
,191:160,2e-31,190-160,,edp_max<31:1>,1111111,4*11111111,4*11111111,4*11111111,4*11111111,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,
,,,191,,NC,1,,,,,0,0,00,0,,,,
,199-192,32,193-192,1-0,lvds_vlos,0,00000000,00000000,00000000,00000000,0,0,00,0,,,,
,,,196-194,4-2,lvds_vhys,0,,,,,0,0,00,0,,,,
,,,198-197,6-5,lvds_lpf,0,,,,,0,0,00,0,,,,
,,,199,7,lvds_alos_pwd,0,,,,,0,0,00,0,,,,
,207-200,33,,,NC,0,00000000,00000000,00000000,00000000,0,0,00,0,,,,
,215-208,34,208,0,dr_fine_man,0,01000000,,01000000,,40,0,40,0,,,,
,,,209,1,dr_auto_man,0,,,,,0,0,00,0,,,,
,,,210,2,adeq_cal_man,0,,,,,0,0,00,0,,,,
,,,211,3,adeq_en_man,0,,,,,0,0,00,0,,,,
,,,212,4,cdr_cal_man,0,,,,,0,0,00,0,,,,
,,,213,5,cdr_en_man,0,,,,,0,0,00,0,,,,
,,,214,6,cdr_dr_timing_auto,1,,,,,0,0,00,0,,,,
,,,215,7,NC,0,,,,,0,0,00,0,,,,
,223-216,35,216,0,dr_fine_init,0,00000000,,11000000,,0,,C0,,,,,
,,,217,1,dr_auto_init,0,,,,,0,,00,,,,,
,,,218,2,adeq_cal_init,0,,,,,0,,00,,,,,
,,,219,3,adeq_en_init,0,,,,,0,,00,,,,,
,,,220,4,cdr_cal_init,0,,,,,0,,00,,,,,
,,,221,5,cdr_en_init,0,,,,,0,,00,,,,,
,,,222,6,adeq_auto_en,1,,,,,,,00,,,,,
,,,223,7,dr_auto_en,1,,,,,0,,00,,,,,
,231-224,36,224,0,vco_fail_en,0,00000000,,00000000,,0,,00,,,,,
,,,225,1,symbol_lock_fail_en,0,,,,,0,,00,,,,,
,,,226,2,cdr_alos_fail_en,0,,,,,0,,00,,,,,
,,,227,3,hpd_fail_en,0,,,,,0,,00,,,,,
,,,231-228,7-4,NC,0000,,,,,0,,00,,,,,
,239-232,37,,7-0,cdr_dr_en_step_low,,00000010,00000010,00000010,,2,,02,,,,,
,247-240,38,,7-0,cdr_dr_en_step_high,,00000000,00000000,00000000,,0,,00,,,,,
,255-248,39,,7-0,dr_fine_step0_low,,00000000,00000000,00000000,,0,,00,,,,,
,263-256,3a,,7-0,dr_fine_step0_high,,00000000,00000000,00000000,,0,,00,,,,,
